movieId,title,genres,overview
62,Mr. Holland's Opus (1995),Drama,In 1965 passionate musician Glenn Holland takes a day job as a high school music teacher convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching Holland must redefine his life's purpose.
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,When Ashtray (Shawn Wayans) moves to South Central L.A. to live with his father (who appears to be the same age he is) and grandmother (who likes to talk tough and smoke reefer) he falls in with his gang-banging cousin Loc Dog (Marlon Wayans) who along with the requisite pistols and Uzi carries a thermo-nuclear warhead for self-defense. Will Ashtray be able to keep living the straight life?
64,Two if by Sea (1996),Comedy|Romance,Frank O'Brien a petty thief and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that last job which involves stealing a valuable painting. Frank takes Roz to an island on the coast of New England where he wants to sell the painting and also hopes that their sagging relationship will get a positive push back up. Not everything goes as planned.
65,Bio-Dome (1996),Comedy,Bud and Doyle are two losers who are doing nothing with their lives. Both of their girlfriends are actively involved in saving the environment but the two friends couldn't care less about saving the Earth. One day when a group of scientists begin a mission to live inside a "Bio-Dome" for a year without outside contact Bud and Doyle mistakenly become part of the project themselves.
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network which Walker would control and use. But what Walker doesn't realize is a group of teenage hackers are on to him and out to stop his plan.
68,French Twist (Gazon maudit) (1995),Comedy|Romance,After learning of her husband's infidelities a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.
69,Friday (1995),Comedy,Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon smoking and drinking looking for something to do.
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point which turns out to be a Hell of a strip joint.
71,Fair Game (1995),Action,Wife and mother Valerie Plame (Naomi Watts) has a double life as a CIA operative hiding her vocation from family and friends. Her husband Joseph Wilson (Sean Penn) writes a controversial article in The New York Times refuting stories about the sale of enriched uranium to Iraq Then Valerie's secret work and identity is leaked to the press. With her cover blown and other people endangered Valerie's career and personal life begin to unravel.
72,Kicking and Screaming (1995),Comedy|Drama,Phil Weston has been unathletic his entire life. In college he failed at every sport that he tried out for. It looks like his 10-year old son Sam is following in his footsteps. But with becoming the coach of The Soccers an already successful soccer team everything changes.
73,"Misérables, Les (1995)",Drama|War,An adaptation of the successful stage musical based on Victor Hugo's classic novel set in 19th-century France in which a paroled prisoner named Jean Valjean seeks redemption.
74,Bed of Roses (1996),Drama|Romance,The seeds of love are planted when Lisa a high-powered investment banker receives flowers from a secret admirer. But when his fairy-tale fantasies clash with her workaholic ways they soon find out that sometimes it's harder than it seems for love to conquer all.
76,Screamers (1995),Action|Sci-Fi|Thriller,(SIRIUS 6B Year 2078) On a distant mining planet ravaged by a decade of war scientists have created the perfect weapon: a blade-wielding self-replicating race of killing devices known as Screamers designed for one purpose only -- to hunt down and destroy all enemy life forms.
77,Nico Icon (1995),Documentary,A look into the many lives of Christa Päffgen otherwise known as Nico; from cutie German mädchen to the first of the supermodels to glamorous diva of the Velvet Underground to cult item junkie and hag. Many faces for the same woman whom you realize just couldn't bring herself to care enough to live.
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,After his daughter died in a hit and run Freddy Gale has waited six years for John Booth the man responsible to be released from prison. On the day of release Gale visits Booth and announces that he will kill him in one week. Booth uses his time to try and make peace with himself and his entourage and even finds romance. Gale whose life is spiraling down because of his obsession towards Booth will bring himself on the very edge of sanity. At he end of the week both men will find themselves on a collision course with each other.
79,"Juror, The (1996)",Drama|Thriller,With his gangster boss on trial for murder a mob thug known as "the Teacher" tells Annie Laird she must talk her fellow jurors into a not-guilty verdict implying that he'll kill her son Oliver if she fails. She manages to do this but when it becomes clear that the mobsters might want to silence her for good she sends Oliver abroad and tries to gather evidence of the plot against her setting up a final showdown.
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,A mafia film in Tarantino style with a star-studded cast. Jimmy’s “The Saint” gangster career has finally ended. Yet now he finds him self doing favors for a wise godfather known as “The Man with the Plan.”
82,Antonia's Line (Antonia) (1995),Comedy|Drama,After World War II Antonia and her daughter Danielle go back to their Dutch hometown where Antonia's late mother has bestowed a small farm upon her. There Antonia settles down and joins a tightly-knit but unusual community. Those around her include quirky friend Crooked Finger would-be suitor Bas and eventually for Antonia a granddaughter and great-granddaughter who help create a strong family of empowered women.
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,This film relates the story of a tightly connected Afro-American community informally called Colored Town where the inhabitants live and depend on each other in a world where racist oppression is everywhere as told by a boy called Cliff who spent his childhood there. Despite this we see the life of the community in all its joys and sorrows of those that live there while others decide to leave for a better life north. For those remaining things come to a serious situation when one prominent businessman is being muscled out by a white competitor using racist intimidation. In response the community must make the decision of whether to submit meekly like they always have or finally fight for their rights.
84,Last Summer in the Hamptons (1995),Comedy|Drama,Filmed entirely on location in East Hampton Long Island "Last Summer in the Hamptons" concerns a large theatrical family spending the last weekend of their summer together at the decades-old family retreat which economic circumstances have forced them to put on the market. Victoria Foyt plays a young Hollywood actress whose visit wreaks havoc on the stellar group of family and friends - led by matriarch Viveca Lindfors and made up of an extraordinary mix of prominent New York actors directors and playwrights. In the course of a very unusual weekend comic as well as serious situations arise and the family's secrets - of which there are many - begin to unravel.
85,Angels and Insects (1995),Drama|Romance,In Victorian England wealthy patriarch Sir Harald Alabaster invites an impoverished biologist William Adamson into his home. There William tries to continue his work but is distracted by Alabaster's seductive daughter Eugenia. William and Eugenia begin a torrid romance but as the couple become closer the young scientist begins to realize that dark disturbing things are happening behind the closed doors of the Alabaster manor.
86,White Squall (1996),Action|Adventure|Drama,Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.
87,Dunston Checks In (1996),Children|Comedy,Hotel manager Robert Grant is forced by his boss to postpone his family vacation when a hotel critic checks in. Trouble is the critic is really a villainous jewel thief with an orangutan assistant named Dunston. When Dunston gets loose and tries to escape a life of crime -- aided by Robert's sons -- havoc hijinks and lots of laughs abound!
88,Black Sheep (1996),Comedy,A genetic engineering experiment gone horribly awry turns a large flock of docile sheep into unrelenting killing machines in this rural horror comedy directed by Jonathan King and featuring special effects designed by Weta Workshop.
89,Nick of Time (1995),Action|Thriller,Gene Watson is a public accountant who arrives on a train at Union Station in Los Angeles accompanied by his 6-year-old daughter Lynn. Because of his ordinary looks he is approached by a pair of sinister people named Smith and Jones.
92,Mary Reilly (1996),Drama|Horror|Thriller,A housemaid falls in love with Dr. Jekyll and his darkly mysterious counterpart Mr. Hyde.
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,Maximillian the lone survivor of a race of vampires comes to Brooklyn in search of a way to live past the next full moon. His ticket to survival is Rita a NYPD detective who doesn't know she's half vampire -- and Maximillian will do whatever's necessary to put her under his spell.
94,Beautiful Girls (1996),Comedy|Drama|Romance,During a snowy winter in the small fictional town of Knight"s Ridge Massachusetts a group of lifelong buddies hang out drink and struggle to connect with the women who affect their decisions dreams and desires.
95,Broken Arrow (1996),Action|Adventure|Thriller,When rogue stealth-fighter pilot Vic Deakins deliberately drops off the radar while on maneuvers the Air Force ends up with two stolen nuclear warheads -- and Deakins's co-pilot Riley Hale is the military's only hope for getting them back. Traversing the deserted canyons of Utah Hale teams with park ranger Terry Carmichael to put Deakins back in his box.
96,In the Bleak Midwinter (1995),Comedy|Drama,Out of work actor Joe volunteers to help try and save his sister's local church for the community by putting on a Christmas production of Hamlet somewhat against the advice of his agent Margaretta. As the cast he assembles are still available even at Christmas and are prepared to do it on a 'profit sharing' basis (that is they may not get paid anything) he cannot expect - and does not get - the cream of the cream. But although they all bring their own problems and foibles along something bigger starts to emerge in the perhaps aptly named village of Hope.
97,"Hate (Haine, La) (1995)",Crime|Drama,Loscar a dangerous and manipulative guy seeks to call the attention of the media to carry out his dark ends.
98,Shopping (1994),Action|Thriller,A dark hip urban story of a barren and anonymous city where the underclass' sport of choice is ram-raiding. An exciting game in which stolen cars are driven through shop windows to aid large-scale looting before the police arrive. For Tommy it's a business but for Billy and Jo it's a labour of love. As the competition between Tommy and Billy grows more fierce the stakes become higher and the "shopping" trips increasingly risky.
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,A documentary crew from the BBC arrives in L.A. intent on interviewing Heidi Fleiss a year after her arrest for running a brothel but before her trial. Several months elapse before the interview so the crew searches for anyone who'll talk about the young woman. Two people have a lot to say to the camera: a retired madam named Alex for whom Fleiss once worked and Fleiss's one-time boyfriend Ivan Nagy who introduced her to Alex. Alex and Nagy don't like each other so the crew shuttles between them with "she said" and "he said." When they finally interview Fleiss they spend their time reciting what Alex and Nagy have had to say and asking her reaction.
100,City Hall (1996),Drama|Thriller,The accidental shooting of a boy in New York leads to an investigation by the Deputy Mayor and unexpectedly far-reaching consequences.
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,Upon his release from a mental hospital following a nervous breakdown the directionless Anthony joins his friend Dignan who seems far less sane than the former. Dignan has hatched a hair-brained scheme for an as-yet-unspecified crime spree that somehow involves his former boss the (supposedly) legendary Mr. Henry.
102,Mr. Wrong (1996),Comedy,A single and lonely woman finds the seemingly perfect man to date but soon regrets it when his deranged and possessive other personality emerges and worst still she cannot convince anyone else of his Jekyll/Hyde true nature.
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,Ray Liotta stars as a medical examiner who has been acquitted for his wife's murder but many still question his innocence. Obsessed with finding his wife's killer a possible solution presents itself in an experimental serum designed by a neurobiology Linda Fiorentino which has the ability to transfer memories from one person to another but not without consequences. Liotta driven to solve the case injects himself with the serum bringing him closer and closer to finding her killer but bringing him closer to death.
104,Happy Gilmore (1996),Comedy,Failed hockey player-turned-golf whiz Happy Gilmore -- whose unconventional approach and antics on the grass courts the ire of rival Shooter McGavin -- is determined to win a PGA tournament so he can save his granny's house with the prize money. Meanwhile an attractive tour publicist tries to soften Happy's image.
105,"Bridges of Madison County, The (1995)",Drama|Romance,A melancholy romance about a farmers wife who meets a photographer who’s way of life that is completely foreign to her leading her to become attracted to him. She is confronted with the difficult decision to go on with the relationship thus leaving her family or to stay and continue her ordinary life until her death. Meryl Streep was nominated for an Oscar for her excellent performance.
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,After telling the story of Flint's last journey to young Jim Hawkins Billy Bones has a heart attack and dies just as Jim and his friends are attacked by pirates. The gang escapes into the town where they hire out a boat and crew to find the hidden treasure which was revealed by Bones before he died. On their voyage across the seas they soon find out that not everyone on board can be trusted.
108,Catwalk (1996),Documentary,A documentary following Christy Turlington and other models during spring fashion week in Milan Paris and New York.
110,Braveheart (1995),Action|Drama|War,Enraged at the slaughter of Murron his new bride and childhood love legendary Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and eventually the entire country to rise up against English rule.
111,Taxi Driver (1976),Crime|Drama|Thriller,Robert De Niro stars as Travis Bickle in this oppressive psychodrama about a Vietnam veteran who rebels against the decadence and immorality of big city life in New York while working the nightshift as a taxi driver.
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,Keong comes from Hong Kong to visit New York for his uncle's wedding. His uncle runs a market in the Bronx and Keong offers to help out while Uncle is on his honeymoon. During his stay in the Bronx Keong befriends a neighbor kid and beats up some neighborhood thugs who cause problems at the market. One of those petty thugs in the local gang stumbles into a criminal situation way over his head.
113,Before and After (1996),Drama|Mystery,Two parents deal with the effects when their son is accused of murdering his girlfriend.
114,Margaret's Museum (1995),Drama,In a town where half the men die down the coalpit Margaret MacNeil is quite happy being single in her small Cape Breton island town. Until she meets Neil Currie a charming and sincere bagpipe-playing Gaelic-speaking dishwasher. But no matter what you do you can't avoid the spectre of the pit forever.
116,Anne Frank Remembered (1995),Documentary,Using previously unreleased archival material in addition to contemporary interviews this academy award-winning documentary tells the story of the Frank family and presents the first fully-rounded portrait of their brash and free-spirited daughter Anne perhaps the world's most famous victim of the Holocaust. Written by Dawn M. Barclift
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,A sinister tale of genius gone wrong The Young Poisoner's Handbook chronicles a young man's descent into madness against the absurd backdrop of suburban English life. Hugh O'Conor plays Graham Young a schoolboy from the London suburbs whose deadly obsession with toxic substances causes him to dabble in experimental murder.
118,If Lucy Fell (1996),Comedy|Romance,Joe and Lucy are roommates and best friends. Lucy whose love life is embarrassingly dull convinces Joe who is infatuated with a neighbor he's never met that if they don't have stable romances within a month they must jump off the Brooklyn Bridge.
119,"Steal Big, Steal Little (1995)",Comedy,Ruben and Robby are twin brothers adopted by Mona one of the wealthiest - and most eccentric - women in Santa Barbara. Ruben is devoted to Mona but Robby is more devoted to her money. So when Mona leaves her fortune and estate to Ruben it starts a battle between brothers that soon leads to madness mayhem and even attempted murder. On Ruben's side is Lou Perilli an ex-Chicago cop and used car dealer who knows the law - and how to get around it. On Robby's side is ruthless businessman Reed Tyler who is out to turn a swift profit on Mona's property. Walking a shifty line between them is Eddie Agopian the family lawyer who doesn't care which side wins as long as he's on the winner's side. But whether they're stealing big or stealing little they're all stealing in this hilarious comedy about greed power... and brotherly love.
121,"Boys of St. Vincent, The (1992)",Drama,The true story of boys being sexually abused at their orphanage ran by a religious community in Newfoundland.
122,Boomerang (1992),Comedy|Romance,Antoine Rey looks for a special gift for his sister Melanie on her 40th birthday. He decides to surprise her with a trip to the French Island of Noirmoutier where they spent many summers as children until their mother's death. On the drive back to Paris Melanie is seriously injured in a car accident...
