movieId,title,genres
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,The story of Heidi Fleiss known as "The Hollywood Madam" who was the daughter of a prominent Los Angeles doctor and eventually became a prostitute for a well-known Los Angeles madam. She ...
100,City Hall (1996),Drama|Thriller,The accidental shooting of a boy in New York leads to an investigation by the Deputy Mayor and unexpectedly far-reaching consequences.
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,Three friends plan to pull off a simple robbery and go on the run.
102,Mr. Wrong (1996),Comedy,A single and lonely woman finds the seemingly perfect man to date but soon regrets it when his deranged and possessive other personality emerges and worst still she cannot convince anyone else of his Jekyll/Hyde true nature.
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,Carrie Wells a former police detective has a rare ability to remember virtually everything she experiences including detailed visual recall. She returns to police work and uses her ability to solve crimes.
104,Happy Gilmore (1996),Comedy,A rejected hockey player puts his skills to the golf course to save his grandmother's house.
105,"Bridges of Madison County, The (1995)",Drama|Romance,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,The Muppets' twist on the classic tale.
108,Catwalk (1996),Documentary,A camera follows model Christy Turlington through the spring fashion shows in Milan Paris and New York one year in the early 1990s probably 1992. She and others dash from one designer's ...
110,Braveheart (1995),Action|Drama|War,When his secret bride is executed for assaulting an English soldier who tried to rape her William Wallace begins a revolt against King Edward I of England.
111,Taxi Driver (1976),Crime|Drama|Thriller,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action attempting to save a preadolescent prostitute in the process.
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,A young man visiting and helping his uncle in New York City finds himself forced to fight a street gang and the mob with his martial art skills.
113,Before and After (1996),Drama|Mystery,Two parents deal with the effects when their son is accused of murdering his girlfriend.
114,Margaret's Museum (1995),Drama,Margaret MacNiel a girl living in a Cape Breton coal mining town finds her life changing when she meets Neil Currie a cheerful bagpipe-playing dishwasher. Unfortunately neither of them are able to escape the industry around them.
116,Anne Frank Remembered (1995),Documentary,Using previously unreleased archival material in addition to contemporary interviews this academy award-winning documentary tells the story of the Frank family and presents the first ...
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,This film is based on a true story about a British teenager who allegedly poisoned family friends and co-workers. Graham is highly intelligent but completely amoral. He becomes ...
118,If Lucy Fell (1996),Comedy|Romance,Joe and Lucy are roommates and best friends. Lucy whose love life is embarrassingly dull convinces Joe who is infatuated with a neighbor he's never met that if they don't have stable ...
119,"Steal Big, Steal Little (1995)",Comedy,Ruben and Robby are twin brothers adopted by Mona one of the wealthiest - and most eccentric - women in Santa Barbara. Ruben is devoted to Mona but Robby is more devoted to her money. So...
121,"Boys of St. Vincent, The (1992)",Drama,The true story of boys being sexually abused at their orphanage ran by a religious community in Newfoundland.
122,Boomerang (1992),Comedy|Romance,A successful executive and womanizer finds his lifestyle choices have turned back on him when his new female boss turns out to be an even bigger deviant than he is.
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure the other with a beautiful and ethereal server at a late-night restaurant he frequents.
124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,A photographer and the types of people he encounters.
125,Flirting With Disaster (1996),Comedy,A young man his wife and his incompetent case worker travel across country to find his birth parents.
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,A young boy must restore order when a group of bullies steal the magical book that acts as a portal between Earth and the imaginary world of Fantasia.
129,Pie in the Sky (1996),Comedy|Romance,A whimsical saga of a young man whose two life-consuming passions are unraveling traffic gridlock and an avant-garde dancer. A romantic comedy.
130,Angela (1995),Drama,N/A
131,Frankie Starlight (1995),Drama|Romance,This is a story of a man (Walker) suffering from dwarfism who writes an autobiographical account of his life. In flashbacks we see how he was conceived to a woman (Parillaud) at the end ...
132,Jade (1995),Thriller,A bright assistant D.A. investigates a gruesome hatchet murder and hides a clue he found at the crime scene. Under professional threats and an attempt on his life he goes on heartbroken because evidence point to the woman he still loves.
135,Down Periscope (1996),Comedy,Lt. Cmdr. Tom Dodge is assigned as Captain to the USS Stingray an old diesel driven submarine that has seen better days. With a crew that consists only of weird guys (and a gal) he's ...
137,Man of the Year (1995),Documentary,A comedian who hosts a news satire program decides to run for president and a computerized voting machine malfunction gets him elected.
140,Up Close and Personal (1996),Drama|Romance,N/A
141,"Birdcage, The (1996)",Comedy,'Birdcage' is a little film about nature and culture animal and man. A troubled relationship and dilemma strained especially during the Victorian period and the beginning of modernism ...
144,"Brothers McMullen, The (1995)",Comedy,N/A
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,Two hip detectives protect a murder witness while investigating a case of stolen heroin.
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,A young American boy visiting in China helps his zoologist father rescue a panda cub from unscrupulous poachers while his panda reserve is threatened with closure from officious bureaucrats.
147,"Basketball Diaries, The (1995)",Drama,A teenager finds his dreams of becoming a basketball star threatened after he free falls into the harrowing world of drug addiction.
148,"Awfully Big Adventure, An (1995)",Drama,Set right after World War II a naive teenage girl joins a shabby theatre troupe in Liverpool. During a winter production of Peter Pan the play quickly turns into a dark metaphor for youth...
149,Amateur (1994),Crime|Drama|Thriller,Isabelle is an ex-nun waiting for her special mission from God. In the meantime she is making a living writing pornography. She meets Thomas a sweet confused amnesiac who cannot remember...
150,Apollo 13 (1995),Adventure|Drama|IMAX,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.
151,Rob Roy (1995),Action|Drama|Romance|War,In 1713 Scotland Rob Roy MacGregor is wronged by a nobleman and his nephew becomes an outlaw in search of revenge while fleeing the Redcoats and faces charges of being a Jacobite.
152,"Addiction, The (1995)",Drama|Horror,A brutal act of self-defense unleashes a quiet man's inner demons.
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,Batman must battle Two-Face and The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick Robin.
154,Beauty of the Day (Belle de jour) (1967),Drama,N/A
155,Beyond Rangoon (1995),Adventure|Drama|War,Laura is trying to pick up the pieces of her life after the murder of her husband and son and goes on vacation with her sister to Burma. After losing her passport at a political rally she...
156,Blue in the Face (1995),Comedy|Drama,Wayne Wang's follow-up movie to Smoke presents a series of improvisational situations strung together to form a pastiche of Brooklyn's diverse ethnicity offbeat humor and essential ...
157,Canadian Bacon (1995),Comedy|War,The U.S. President low in the opinion polls gets talked into raising his popularity by trying to start a cold war against Canada.
158,Casper (1995),Adventure|Children,A paranormal expert and his daughter bunk in an abandoned house populated by three mischievous ghosts and one friendly one.
159,Clockers (1995),Crime|Drama|Mystery,Young drug pushers in the projects of Brooklyn live hard dangerous lives trapped between their drug bosses and the detectives out to stop them.
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,When an expedition to the African Congo ends in disaster a new team is assembled to find out what went wrong.
161,Crimson Tide (1995),Drama|Thriller|War,On a US nuclear missile sub a young first officer stages a mutiny to prevent his trigger happy captain from launching his missiles before confirming his orders to do so.
162,Crumb (1994),Documentary,An intimate portrait of the controversial cartoonist and his traumatized family.
163,Desperado (1995),Action|Romance|Western,A gunslinger is embroiled in a war with a local drug runner.
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,An African American man is hired to find a woman and gets mixed up in a murderous political scandal.
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,John McClane officer of the NYPD tries to save his wife Holly Gennaro and several others that were taken hostage by German terrorist Hans Gruber during a Christmas party at the Nakatomi Plaza in Los Angeles.
166,"Doom Generation, The (1995)",Comedy|Crime|Drama,Jordan White and Amy Blue two troubled teens pick up an adolescent drifter Xavier Red. Together the threesome embark on a sex and violence-filled journey through an America of psychos and quickiemarts.
167,Feast of July (1995),Drama,After an abandoned young woman in late 19th Century England is taken in by a rural couple with three handsome sons tragic consequences result.
168,First Knight (1995),Action|Drama|Romance,Lancelot falls in love with Guinevere who is due to be married to King Arthur. Meanwhile a violent warlord tries to seize power from Arthur and his Knights of the Round Table.
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,Jesse becomes reunited with Willy three years after the whale's jump to freedom as the teenager tries to rescue the killer whale and other orcas from an oil spill.
170,Hackers (1995),Action|Adventure|Crime|Thriller,A young boy is arrested by the U.S. Secret Service for writing a computer virus and is banned from using a computer until his 18th birthday. Years later he and his new-found friends ...
171,Jeffrey (1995),Comedy|Drama,N/A
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,A data courier literally carrying a data package inside his head must deliver it before he dies from the burden or is killed by the Yakuza.
173,Judge Dredd (1995),Action|Crime|Sci-Fi,In a dystopian future Joseph Dredd the most famous Judge (a police officer with instant field judiciary powers) is convicted for a crime he did not commit and must face his murderous counterpart.
174,Jury Duty (1995),Comedy,When jobless Tommy Collins discovers that sequestered jurors earn free room and board as well as $5-a-day he gets himself assigned to a jury in a murder trial. Once there he does ...
175,Kids (1995),Drama,A day in the life of a group of teens as they travel around New York City skating drinking smoking and deflowering virgins.
176,Living in Oblivion (1995),Comedy,Film about filmmaking. It takes place during one day on set of non-budget movie. Ultimate tribute to all independent filmmakers.
177,Lord of Illusions (1995),Horror,During a routine case in L.A. NY private investigator Harry D'Amour stumbles over members of a fanatic cult who are waiting for the resurrection of their leader Nix. 13 years ago Nix was...
178,Love & Human Remains (1993),Comedy|Drama,Set in a dreary urban landscape of Edmonton LOVE AND HUMAN REMAINS is a dark comedy about a group of twentysomethings looking for love and meaning in the '90s. The film focuses on ...
179,Mad Love (1995),Drama|Romance,The high-school student Matt Leland lives with his twin brother and sister and his father in a house by the lake. When the teenager Casey Roberts moves to the house on the other side of the...
180,Mallrats (1995),Comedy|Romance,Both dumped by their girlfriends two best friends seek refuge in the local mall.
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,A team of teenagers with attitude are recruited to save Angel Grove from the evil witch Rita Repulsa and later Lord Zedd Emperor of all he sees and their horde of monsters.
183,Mute Witness (1994),Comedy|Horror|Thriller,Billy Hughes a mute makeup artist working on a slasher film being shot in Moscow is locked in the studio after hours. While there she witnesses a brutal murder and must first escape ...
184,Nadja (1994),Drama,This ultra-hip post-modern vampire tale is set in contemporary New York City. Members of a dysfunctional family of vampires are trying to come to terms with each other in the wake of ...
185,"Net, The (1995)",Action|Crime|Thriller,A computer programmer stumbles upon a conspiracy putting her life and the lives of those around her in great danger.
186,Nine Months (1995),Comedy|Romance,When he finds out his longtime girlfriend is pregnant a commitment-phobe realizes he might have to change his lifestyle for better or much much worse.
187,Party Girl (1995),Comedy,Mary is a free-spirited young woman with a run-down New York apartment and a high fashion wardrobe. She calls her godmother a librarian for bail money after being arrested for throwing an...
188,"Prophecy, The (1995)",Fantasy|Horror|Mystery,A log company's waste mutates the environment creating a giant killer bear-monster.
189,Reckless (1995),Comedy|Fantasy,In sultry Charleston where summer is long and secrets simmer behind every door sex and crime walk hand in hand as two adversaries a gorgeous Yankee litigator and a southern City Attorney...
190,Safe (1995),Thriller,Mei a young girl whose memory holds a priceless numerical code finds herself pursued by the Triads the Russian mob and corrupt NYC cops. Coming to her aid is an ex-cage fighter whose life was destroyed by the gangsters on Mei's trail.
191,"Scarlet Letter, The (1995)",Drama|Romance,An affair between a young woman and a pastor has disastrous consequences.
193,Showgirls (1995),Drama,Nomi a young drifter arrives in Las Vegas to become a dancer and soon sets about clawing and pushing her way to become the top of the Vegas showgirls.
194,Smoke (1995),Comedy|Drama,A Brooklyn smoke shop is the center of neighborhood activity and the stories of its customers.
195,Something to Talk About (1995),Comedy|Drama|Romance,A woman's world is rocked when she discovers her husband is cheating on her.
196,Species (1995),Horror|Sci-Fi,A group of scientists try to track down and trap a killer alien seductress before she successfully mates with a human.
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,A former cop turned street-hustler accidentally uncovers a conspiracy in Los Angeles in 1999.
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,A young girl separated from her lover by war faces a life-altering decision.
200,"Tie That Binds, The (1995)",Thriller,John Netherwood and his wife Leann are fugitives who are both wanted for murder. They have a young daughter named Janie. John and Leann are in the process of robbing a house when the two ...
201,Three Wishes (1995),Drama|Fantasy,In an unexplained act of charity Jeanne Holman picks up an injured apparent tramp and takes him home to care for him little realising who he was or the effect he would have on her life and those of her family.
202,Total Eclipse (1995),Drama|Romance,Young wild poet Arthur Rimbaud and his mentor Paul Verlaine engage in a fierce forbidden romance while feeling the effects of a hellish artistic lifestyle.
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,Three drag queens travel cross-country until their car breaks down leaving them stranded in a small town.
204,Under Siege 2: Dark Territory (1995),Action,Casey Ryback hops on a Colorado to LA train to start a vacation with his niece. Early into the trip terrorists board the train and use it as a mobile HQ to hijack a top secret destructive US satellite.
205,Unstrung Heroes (1995),Comedy|Drama,Steven Lidz unhappy with his home life since his mother got sick goes and lives with his two crazy Uncles. There he changes and gets closer to his Uncles but his parents want him home ...
206,Unzipped (1995),Documentary,Isaac Mizrahi one of the most successful designers in high fashion plans his fall 1994 collection. He combines inspirations such as the Hollywood Eskimo look the Mary Tyler Moore show ...
207,"Walk in the Clouds, A (1995)",Drama|Romance,Glacier National Park has enormous water preserves as well as one million acres of undeveloped wilderness. Glacier National Park is not currently designated as 'Wilderness'. All of the ...
208,Waterworld (1995),Action|Adventure|Sci-Fi,In a future where the polar ice-caps have melted and Earth is almost entirely submerged a mutated mariner fights starvation and outlaw "smokers" and reluctantly helps a woman and a young girl try to find dry land.
209,White Man's Burden (1995),Drama,The story takes place in alternative America where the blacks are members of social elite and whites are inhabitants of inner city ghettos. Louis Pinnock is a white worker in a chocolate ...
211,"Browning Version, The (1994)",Drama,Forced to retire from an English public school an unpopular professor must confront his failure as a teacher and husband.
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,Russia 1936: revolutionary hero Colonel Kotov is spending an idyllic summer in his village with his young wife and six-year-old daughter Nadia and other assorted family and friends. Things...
214,Before the Rain (Pred dozhdot) (1994),Drama|War,In the republic of Macedonia amid war in Bosnia an Albanian girl being hunted by Christians is offered protection by a monk who has taken a vow of silence.
215,Before Sunrise (1995),Drama|Romance,A young man and woman meet on a train in Europe and wind up spending one evening together in Vienna. Unfortunately both know that this will probably be their only night together.
216,Billy Madison (1995),Comedy,In order to inherit his fed up father's hotel empire an immature and lazy man must repeat grades 1-12 all over again.
